,id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
292505,5XzpmFD0VYPIXXLocTarAS,Chano Ton Elegcho,22,252453,0,['Michalis Hatzigiannis'],['77YRvt1TuxpCmW4Ydrx69A'],2004,0.584,0.654,7,-7.402,0,0.04,0.0395,0.0,0.282,0.369,110.06,4
546720,5ktxGMsCSbaN4PZmcp6L2h,Don't Go Breaking My Heart,14,165907,0,['Roger Nichols & The Small Circle of Friends'],['2dwTTOMlYBBAUI4ZP0hFRC'],1968-06-20,0.548,0.268,1,-11.916,0,0.0307,0.768,0.0,0.179,0.522,112.639,4
456217,51PcB5453BMTM18V0hru79,J'ai Déconné,50,168219,1,"['Latifah', 'Clandistino']","['1a4DIEh9pp70HzDHgyjioB', '6jS6JOoUxuUrEKDDrciQzm']",2018-08-03,0.709,0.746,6,-6.177,0,0.0392,0.262,1.84e-05,0.0879,0.623,121.917,4
452824,1Vfyx8K5ccwCcIaTMUuDsZ,'T Is Voorbij,23,210173,0,['Andre Hazes'],['04MtOUkmIDC4LAxDDBjrOY'],1987-01-01,0.495,0.937,2,-5.756,0,0.0797,0.17,6.65e-05,0.112,0.649,118.548,4
468056,0RUGuh2uSNFJpGMSsD1F5C,It Will Rain,71,257720,0,['Bruno Mars'],['0du5cEVh5yTK9QJze8zA0C'],2011-11-04,0.576,0.835,2,-6.826,1,0.0486,0.337,0.0,0.082,0.476,150.017,4
572496,5Em0PyvRtGMwzzaGBxnaKF,Sweet Reunion,23,346627,0,['Kenny Loggins'],['3Y3xIwWyq5wnNHPp5gPjOW'],1991-09-01,0.7,0.639,8,-12.266,1,0.0557,0.521,2.55e-06,0.117,0.638,112.207,4
460126,6dtyFXzrpgmXhLSCDL1CKh,Dans la maison vide,31,163960,0,['Michel Polnareff'],['7aKldvGENbL4bj8TCWHuhT'],1997-01-01,0.455,0.754,7,-9.039,1,0.0491,0.101,0.000195,0.0721,0.601,85.872,4
519446,2i9vDdWVm1rN47WxPVl7kQ,Main Jahan Chala Jaoon,8,297718,0,['Kishore Kumar'],['0GF4shudTAFv8ak9eWdd4Y'],1971-01-01,0.339,0.525,2,-9.719,0,0.0368,0.982,0.818,0.113,0.583,107.214,4
189443,7g6aaaKFGjx6FJVQ3RpGwl,En Quince Minutos,7,195000,0,['Maria Luisa Landin'],['6xwRfnFKMKRoHL8LuLNBpf'],1960-09-15,0.603,0.154,6,-17.457,0,0.0375,0.918,0.000324,0.376,0.558,101.242,4
192829,1Zy8GkiHyaElZ61pok8jRP,001 - beim Wanderzirkus - Teil 39,30,66573,0,['Fünf Freunde'],['1hD52edfn6aNsK3fb5c2OT'],1978-11-01,0.802,0.477,7,-10.121,0,0.884,0.875,0.0,0.689,0.643,46.741,4
351976,6OnYOa8EapFmVZMotpsUKs,Casi te rozo (feat. Axel),46,219723,0,['Vanesa Martín'],['5kSJMVPcTITrSZxTrHllVN'],2015-05-26,0.524,0.533,11,-4.883,1,0.0552,0.395,0.0,0.126,0.12,80.002,4
270080,4kwK5Bf7ZCFiovd8IBMMaR,"Sleep, Little Child",36,138373,0,['Larry Groce'],['2z9Y52xPb933l5cs0GNvnc'],1988-01-01,0.499,0.0825,2,-23.495,1,0.035,0.855,0.000751,0.0789,0.502,140.629,3
474240,5wHIC57BroB3t0aoWGFbKT,La Gaita De La Cenicienta,32,174335,0,['Tru La La'],['1EsaxlwSz9CLqVRjZYnP3H'],2001-05-15,0.649,0.819,7,-6.073,0,0.0309,0.257,0.0,0.119,0.932,139.648,4
364279,007c0tlyG8wnu9o82yvnVS,Mazurka No.22 In G Sharp Minor Op.33 No.1,21,85200,0,"['Frédéric Chopin', 'Vladimir Ashkenazy']","['7y97mc3bZRFXzT2szRM4L4', '20iZXzMb8LoWXOeca32i82']",1987-05-27,0.408,0.0152,8,-32.006,0,0.0425,0.995,0.889,0.0994,0.196,129.294,3
542218,7fXNbEWlKaJDUEr5fajRzW,Aguas da Amazonia: Paru River,24,265413,0,"['Philip Glass', 'Uakti']","['69lxxQvsfAIoQbB20bEPFC', '2LZqtMQsKjghZlfABYwaPn']",1999-08-03,0.403,0.0884,10,-35.644,1,0.056,0.973,0.922,0.0998,0.644,175.983,4
20328,37zLbmVvVhjfuFUwGSTPnv,"Préludes, Livre 1, L. 117: 11. La Sanse de Puck. Capricieux et léger",0,142400,0,"['Claude Debussy', 'Robert Casadesus']","['1Uff91EOsvd99rtAupatMP', '60UJYXbYq8oGjl7FDqP0mW']",1946,0.323,0.0442,3,-26.663,0,0.0363,0.994,0.921,0.227,0.0657,95.573,4
491898,7tHI3TNDq2HhMTqJuRG2uw,Genie In A Bottle - Flavio vs. Mad Boris Mix,35,390333,0,['Christina Aguilera'],['1l7ZsJRRS8wlW3WfJfPfNS'],1999,0.808,0.782,1,-7.741,1,0.0593,0.000586,0.114,0.289,0.818,130.011,4
12837,2AWjd6KCo7RjYMcdS01k6J,"Quintette à cordes No. 2 in C Minor, K. 406: I. Allegro",0,335387,0,"['Wolfgang Amadeus Mozart', 'Budapest String Quartet', 'Milton Katims']","['4NJhFmfw43RLBLjQvxDuRS', '5NEPR8H1RQSvkGrywovDVX', '2JT5ZWU42A5WIjBh3Y9DKU']",1938,0.362,0.245,0,-12.269,0,0.0485,0.969,0.863,0.0792,0.262,84.857,4
511813,1H1hQoTikbYECIR20m8BJ9,Panghat Se Liye Aati Hoon,0,193219,0,"['Gulab Bai', 'Shital Ghosh']","['6c6t70B0pqOIKWghFDimCp', '5vr2wCaZWyTzfo5gUZjBmQ']",1941-12-31,0.449,0.182,0,-13.239,0,0.0594,0.993,0.812,0.101,0.565,172.509,3
251469,51OnS5U6S4Rbssw8ZLQNNi,Escaramujo,33,297682,0,['Silvio Rodríguez'],['4rUyBlggM5tZUH5QZn9ZuO'],1995-01-01,0.539,0.144,2,-13.441,1,0.0897,0.808,0.0,0.111,0.519,84.0,4
255961,1zwH02KhFWC4wOtiZ1We1g,Sola Otra Vez,43,208000,0,['El Polaco'],['3ucYybVr1mTuB04HtoBDCc'],2016-10-21,0.669,0.902,7,-3.386,1,0.0334,0.0454,0.0,0.0937,0.94,104.971,4
150764,41Rqcj0DD8owNG4njZWbuV,Mi Primer Amor,39,259400,0,['Chayanne'],['1JbemQ1fPt2YmSLjAFhPBv'],1992-07-21,0.641,0.507,4,-9.517,1,0.0297,0.301,0.0,0.133,0.282,134.017,4
386726,6u4PWCWePFLi21VPQUyEVN,Немного жаль,32,275253,0,['Philipp Kirkorov'],['3ANNnVJ7NCdIZV6P2YzvlI'],2003-01-01,0.582,0.657,2,-6.33,0,0.0493,0.574,6.1e-06,0.115,0.422,184.091,4
316570,2lgSYitkuJpEXr2SEEo5EN,021 - und der tanzende Teufel - Teil 04,36,60827,0,['Die drei ???'],['3meJIgRw7YleJrmbpbJK6S'],1980-10-10,0.705,0.551,11,-13.266,1,0.92,0.767,0.0,0.33,0.644,108.942,3
115354,5FG7Tl93LdH117jEKYl3Cm,Essence (feat. Tems),68,248040,0,"['WizKid', 'Tems']","['3tVQdUvClmAT7URs9V3rsp', '687cZJR45JO7jhk1LHIbgq']",2020-10-29,0.849,0.707,0,-6.002,1,0.113,0.0266,8.58e-06,0.618,0.602,104.027,4
138704,1Dv4mRcswTzgAGWBm8KYaA,A Summer Afternoon,16,358653,0,"['Stan Getz', 'Eddie Sauter']","['0FMucZsEnCxs5pqBjHjIc8', '2o1O5OsjfgL7vhn8RwK0rT']",1962-01-01,0.433,0.154,1,-15.965,1,0.0378,0.949,0.837,0.104,0.361,107.707,4
96585,6NTceHSsE8bSWBE0hEVUUl,Fascinating Rhythm,13,173413,0,['Don Ralke'],['16v92k2eWOLCspNsRJC5W3'],1960,0.467,0.205,0,-25.311,0,0.136,0.772,0.000973,0.108,0.898,173.37,4
301103,29cKAB63SRhL2GZdMHmQON,The Riverboat Song,38,292850,0,['Ocean Colour Scene'],['5vIOGcdmx1eIkq3ZtuS12U'],1996-01-01,0.477,0.849,11,-6.423,0,0.0282,0.00513,3.67e-05,0.526,0.626,106.778,3
365751,2xyA4n0bCLCQzXYskm4EZV,Samson And Delilah,39,243600,0,['Rev. Gary Davis'],['7DtrCdyysCDj5BlVKcassv'],1992-01-01,0.712,0.237,7,-13.898,1,0.0567,0.878,0.000601,0.101,0.751,114.302,4
364643,604dh0G0cR96ig1YY7WydP,Bulunur Elbet,20,334334,0,['Müslüm Gürses'],['4cMwyqmHCwJjRZ3frIVHTr'],1989-08-01,0.475,0.58,3,-5.728,1,0.0549,0.737,0.131,0.179,0.538,171.155,4
529656,5aNuuvbZROtlGww4rTOnqH,Yaaram,45,293813,0,"['Vishal Bhardwaj', 'Sunidhi Chauhan', 'Clinton Cerejo']","['1JdHoZwkwOmX2Pl2iTwnzc', '3eDT9fwXKuHWFvgZaaYC5v', '2j9QVMZlqIj4Cb9UISBrXK']",2013-03-29,0.639,0.645,4,-8.088,0,0.0397,0.452,0.000175,0.108,0.336,140.025,4
314529,6XGBIcBHyhJSTOeeRPuosl,"Bach: St. Matthew Passion, BWV 244, Pt. 2: No. 36c, Recitative and Chorus ""Da speieten sie in sein Angesicht … Weissage uns, Christe"" (Evangelist, Chorus 1, Chorus 2)",8,47667,0,"['Johann Sebastian Bach', 'Otto Klemperer', 'Philharmonia Orchestra']","['5aIqB5nVVvmFsvSdExz408', '2ljDHW0zt90SrHDwjVIGXs', '09KZU0NsS7jRa5p0SflmGY']",1962,0.288,0.121,2,-23.658,0,0.0311,0.93,5.34e-06,0.772,0.495,64.929,4
512566,0Sgij7bYxRqX2tGD9b2hvo,Chho Chho Chho,0,166427,0,['Ranjit Ray'],['4C0oJKDF6QyMLJ5CTstPrs'],1944-12-31,0.626,0.727,4,-6.571,1,0.142,0.994,0.207,0.341,0.894,122.867,4
10237,43p4Dc7YBq99pOHMZ2lYqk,"Haydn: String Quartet No. 28 in E-Flat Major, Op. 20 No. 1, Hob. III, 31: IV. Finale (Presto)",0,229453,0,"['Franz Joseph Haydn', 'Pro Arte Quartet']","['656RXuyw7CE0dtjdPgjJV6', '7LDDafwFTPDzeLj5mo59wk']",1935,0.503,0.29,3,-12.895,1,0.0379,0.963,0.00257,0.115,0.613,87.166,4
382675,6W0iyifIIlufkIHArBjDfM,My Favorite Things,16,145160,0,['Andy Williams'],['4sj6D0zlMOl25nprDJBiU9'],1965,0.319,0.285,4,-11.085,0,0.0298,0.696,0.0,0.1,0.328,138.515,3
213408,2m6Fo52AVEPFUKPnTj6QIy,Siga La Gente,10,161627,0,['Rene Grand Y Su Combo New York'],['0Bh2tvHnPGxpRwXJskbNdF'],1966-01-01,0.857,0.666,5,-9.694,0,0.166,0.701,0.382,0.0412,0.867,115.372,4
386746,6iD2SQkHVS98GFNBFle5Cx,Когда мы были на войне,29,200000,0,"['Pelageya', 'Народная песня']","['5jpdn32kITdVr85niBEu02', '5wQWkNUtBW1hotdiwn6JIm']",2003-10-20,0.515,0.615,9,-7.553,0,0.0429,0.457,7.78e-06,0.0936,0.869,171.959,4
291760,2PQyeJy4gr1qizvqoqn63g,Cenit,42,279627,0,['La Castañeda'],['7fFzUTQmuK6dcxov1opn5Q'],1999-10-01,0.663,0.72,4,-6.007,1,0.0542,0.471,0.0,0.0959,0.62,119.006,4
70867,2LxyITcslKIKdMyYdHdA5l,Trátame Suavemente - Remasterizado 2007,55,244200,0,['Soda Stereo'],['7An4yvF7hDYDolN4m5zKBp'],1997-10-09,0.47,0.576,7,-8.687,1,0.0289,0.181,0.299,0.744,0.0878,104.523,4
64834,1IeZ7rWZLud8thQQlhuWIP,Lothlórien - 2009 Remaster,52,127493,0,['Enya'],['6uothxMWeLWIhsGeF7cyo4'],1991-11-15,0.469,0.192,8,-15.605,1,0.0353,0.939,0.851,0.133,0.29,88.222,4
553734,2wGjZlS9VQRLXiunT07FUw,Freedom of Expression,22,247620,0,['Dragon Ash'],['2wDlv5Qp9pffOqnO4vdn8L'],1999,0.671,0.702,4,-7.87,1,0.042,0.00259,0.107,0.0925,0.509,125.008,4
372660,5dpNd127K9YchxmkZzb8Nt,Feveran,41,205490,0,['Bengü'],['6wxh9aTFgTS4OiyYlnQBq6'],2014,0.613,0.888,4,-6.54,0,0.0291,0.00168,0.000286,0.0557,0.412,129.968,4
458721,2GBCVGSNk1pohmZK4MPRgT,Lola,14,223853,0,['Jeanne Mas'],['6ItMujsGa113JYrjlfrZXR'],1986,0.647,0.906,7,-7.919,0,0.0422,0.139,0.0533,0.269,0.861,102.949,4
128438,6oE3kZums8Llc7ExChtHkb,Ka Uluwehi O Ke Kai,44,208733,0,['Hapa'],['3w0M90LteiOnPZkklwQPqZ'],1992-01-01,0.576,0.464,7,-11.265,1,0.029,0.493,0.0,0.13,0.734,118.171,4
425100,6Acn6jXfi7DiMSOC84dr1b,2000 Years Ago,0,255333,0,['ROCKIE CAMPBELL'],['17Wmer1m6nBCpq7PcaWhda'],2017-10-01,0.835,0.417,1,-10.425,1,0.0701,0.0253,0.0523,0.0823,0.973,156.041,4
353389,3KGSznk5xjrJzuR1MUKuaB,Chanson D'Amour,5,168840,0,['Art And Dotty Todd'],['1vlP3YgjCImpjBlUeWsfsL'],1958-11-09,0.777,0.249,5,-11.491,1,0.0289,0.892,0.00351,0.0864,0.588,103.764,4
50807,7apWQJSE3gJB55Dp8bXTW9,Fooling Yourself (The Angry Young Man),48,331867,0,['Styx'],['4salDzkGmfycRqNUbyBphh'],1977-01-01,0.373,0.447,2,-13.646,1,0.0289,0.119,0.000243,0.115,0.516,102.855,4
408853,3OnwQ0YThEzXWKy1TkrLDk,雨的旋律,9,146333,0,['鳳飛飛'],['13ILSgBPHS5T6YCFw9Pc7R'],1985-09-01,0.597,0.326,0,-15.557,1,0.0316,0.625,0.00416,0.235,0.563,125.096,4
545948,3VUqjskAtAwGAdtZtCS4aj,Countryside,27,139560,0,['Alice Noir'],['2BKTpfC8oWyDZcfqNHl19A'],2019-11-13,0.51,0.346,4,-15.042,1,0.038,0.749,0.0704,0.388,0.241,119.949,3
473826,2BVKy5DxiQLxzvwqfvOlGH,Tranquilo Venancio,25,273333,0,['La Mosca Tse-Tse'],['60nua3AsVSfADZtg5Hdz3W'],1998-01-01,0.667,0.835,9,-6.615,1,0.13,0.0882,1.15e-05,0.292,0.785,103.995,4
246679,3D0ud1zf7Op6lS4neoaOQT,Won't Forget These Days - Single Edit,0,211887,0,"['DJ Yanny', 'Terraformer']","['4PSKuJ4TmzYNDgYswvgeAm', '7yznkE2TVjMawISsOb0kcv']",2009-09-04,0.661,0.944,0,-6.501,1,0.0657,0.11,0.0384,0.492,0.481,140.031,4
23913,3xeON8YuVrtw8VDunZ3uqE,Roses Of Picardy,5,177147,0,['George Shearing'],['7uUBTiZ2u5b40vymlFmXrn'],1950-01-01,0.648,0.045,6,-24.043,0,0.0468,0.989,0.896,0.115,0.536,116.102,4
374257,7eD9VFiniHx7FF7fcXb9gX,Kusura Bakmasınlar,49,247161,0,['Jehan Barbur'],['6PNzOVat5l7NQQC4lqY2Fo'],2019-10-25,0.65,0.577,4,-8.728,0,0.0426,0.543,1.23e-06,0.18,0.373,81.986,4
342138,70FEFOvWszMMjvW23QUHnm,Torskevise,16,124307,0,['Odd Børretzen'],['4ZO9tkOanByXc1T1ilJeFz'],1999-07-21,0.673,0.42,2,-10.804,1,0.296,0.35,0.000874,0.248,0.602,170.013,4
366353,1Ke4nLKVbBcJC74tBy0Z0p,Özgürlük Tutkusu,17,177261,0,['Grup Yorum'],['4FjxqqOXKI1eGLrYn3GUq4'],1994-12-08,0.635,0.68,5,-14.328,1,0.0367,0.605,4.05e-06,0.101,0.897,95.093,4
2931,0KNUVBQBfNFdSyGYjtHKOm,Chapter 145.2 & Chapter 146.1 - Sprawy Sherlocka Holmesa,0,152502,0,['Arthur Conan Doyle'],['2AcBhTO6Q3zzUrfPKmskp3'],1927-07-29,0.673,0.293,1,-17.252,1,0.947,0.848,0.0,0.131,0.758,73.381,4
189159,0TaRcB0txJdE5tK8NACfGl,All The Things You Are,15,455867,0,['Stan Getz'],['0FMucZsEnCxs5pqBjHjIc8'],1957-01-01,0.48,0.198,8,-17.957,1,0.0426,0.875,0.0727,0.11,0.534,81.402,4
156135,0ULx0VrijqpHebvMGmmDt2,Hosanna,46,368267,0,"['Hillsong en Español', 'Hillsong UNITED']","['3phVKYqeq84Ai91CHTQfNq', '74cb3MG0x0BOnYNW1uXYnM']",2009-10-01,0.444,0.772,4,-6.881,1,0.0378,0.083,3.41e-05,0.208,0.117,76.491,4
247241,7p25WUGp1u8dtGbb5aTEOP,Isla Patrulla,3,163680,0,['Los Olimareños'],['42m8eNKUwiMldH3GFcKMNi'],1964-08-01,0.724,0.279,3,-13.36,0,0.0401,0.979,0.000262,0.104,0.875,88.643,4
554655,7AOaYLi0jnDoKkfWEQmy3J,ロイヤル・ストレート・フラッシュ,21,227373,0,['RHYMESTER'],['2S6A6zkTKElCA0BJku4FBZ'],2001,0.85,0.681,1,-5.77,1,0.209,0.0123,0.0,0.365,0.612,99.986,4
37057,5Jd78KUwqhZcY5msCpsDLw,"Theme From ""Bus Stop""",29,222787,0,['Jackie Gleason'],['2F0kPpQ5mtta1ORIyO2xex'],1963-03-04,0.245,0.0935,5,-19.343,1,0.0373,0.748,0.254,0.0963,0.107,124.385,4
391181,0BlnhvbLec3YsvPw130M5T,Davanti agli occhi miei,15,195400,0,['New Trolls'],['5RN8L3RHQZ87m7gNWUyFmu'],1970,0.393,0.727,2,-6.21,1,0.0426,0.484,3.67e-05,0.432,0.45,107.733,4
366175,3zi6WLb38KjpJnT6i7SGQP,Yasaksa Yasak,24,222827,0,['Nükhet Duru'],['7HLLY3hnsKLpq6bq3OwNNe'],1994-02-01,0.573,0.772,4,-6.685,0,0.117,0.58,0.0,0.11,0.525,97.918,4
455582,7aoCH870gLR7EhAHCuH6St,For The First Time [Mix Cut] - Original Mix,3,85973,0,"['Omnia', 'Tilde']","['0XZkeCAlpiO5qcIlAJzZaA', '5L1WcinbfMTWlR0g97RpJX']",2015-12-18,0.492,0.943,5,-6.602,1,0.0457,0.00975,0.0595,0.571,0.474,134.027,4
286297,2EmExQFbfcUR4utT3uVx1h,Fifteen (Scantraxx 15 Years OST) - Radio Edit,1,218412,0,"['Devin Wild', 'KELTEK', 'Adrenalize', 'Villain']","['4ksdbwHbqSmv7sWP3W6L21', '1Od0hPnXSqA9pipLqNXJ7e', '6GebWeCCtey5pbQepRYD6c', '7iajTuviby3038TmfrpvZ3']",2018-03-09,0.412,0.605,9,-10.137,0,0.0556,0.00184,3.17e-05,0.106,0.172,75.007,1
175677,50TlgqFgrcXnwRVLwGZmaz,Kurjuuden kuningas,39,177720,0,"['Tuomari Nurmio', 'Köyhien Ystävät']","['7zBD3u7aYHxNPlLWc5CAdh', '6bYZ8a86W5Pb510nBd3o0m']",2012-01-01,0.75,0.484,1,-8.755,0,0.0277,0.236,0.000268,0.0761,0.961,117.304,4
503768,2QhrqmZxuxNCIkPwxnzmCy,L'aurora,13,335440,0,"['Eros Ramazzotti', 'Humberto Gatica']","['61J0BktHv7PuP3tjTPYXSX', '67K364KAVvBthhmq70ct4h']",1996-05-10,0.648,0.477,11,-7.368,1,0.0311,0.148,0.0,0.0993,0.261,131.879,4
436416,0MtfroCzjrbAq48y7H5Zv2,O Teu Amor Me Sustentará,45,262187,0,['Missionário Shalom'],['6TZ4wdzVOsMsc8YfeoI9LO'],2010-07-30,0.512,0.518,7,-7.792,1,0.0307,0.168,0.0,0.126,0.237,123.932,4
502837,6ajU3dFdloyJ3YLhy8EPIl,The Godfather,31,201707,0,['Dag Nasty'],['2KytjqKNcs59u2JaCKNT9E'],1987,0.448,0.837,1,-8.664,0,0.0321,4.16e-06,0.178,0.0504,0.318,92.57,4
416909,54rYNg8ybE9I3oMlechq1g,"Amour, castagnettes et tango",5,156600,0,['Gloria Lasso'],['2ufn5Tb2Vau3Y2kMNkJr47'],1957,0.51,0.254,2,-12.044,0,0.0814,0.869,0.0,0.252,0.329,115.901,4
94537,1Hyk27hY1rOiR2ahR5J4fT,Ae Dil Unhen Bhoole Se Ab Yaad,0,206003,0,['Begum Para'],['2xlIy67W2LnBgJL43jz0zX'],1949-12-31,0.621,0.483,6,-5.619,0,0.0305,0.844,0.0,0.534,0.569,110.914,4
369340,75m9yTE5eLz5TMnfczyeqi,"Vakit Yok,Gemi Kalkıyor",35,187989,0,['Yaşar'],['50AOA3aPd6tc928KEYaljF'],2003-01-02,0.722,0.813,5,-7.777,0,0.0562,0.138,2.83e-06,0.113,0.962,156.044,4
125218,6BG8APdrN4NcMKeGLPRdSj,Mark Twain,5,227322,0,['Harry Belafonte'],['6Tw1ktF4xMmzaLLbe98I2z'],1954-01-23,0.589,0.18,8,-13.973,1,0.181,0.844,0.0,0.0981,0.341,93.097,4
194246,0ZlS84cgvFnvM3CEoAZF9m,027 - Banditen im Palasthotel - Teil 10,31,100360,0,['TKKG Retro-Archiv'],['0i38tQX5j4gZ0KS3eCMoIl'],1984-02-01,0.683,0.402,9,-15.498,1,0.712,0.608,0.0,0.917,0.12,62.74,3
149442,34udgpV3Rdur2RNT3VSYTf,Gadis Misteri,34,331240,0,['Search'],['4LADVWbGgajvchOHelqZv2'],1989-01-31,0.389,0.366,9,-11.883,1,0.0259,0.415,0.00719,0.148,0.12,147.031,4
118821,2FqoR7diymD1Eh7cVb3DMg,Algo Me Gusta De Ti,72,274947,0,"['Wisin & Yandel', 'Chris Brown', 'T-Pain']","['1wZtkThiXbVNtj6hee6dz9', '7bXgB6jMjp9ATFy66eO08Z', '3aQeKQSyrW4qWr35idm0cy']",2012-01-01,0.627,0.768,11,-5.296,0,0.0325,0.00291,0.0,0.0598,0.237,127.953,4
128430,3GOZV32PCMZBNCXqVQUKsW,Be My Yoko Ono,44,164867,0,['Barenaked Ladies'],['0dEvJpkqhrcn64d3oI8v79'],1992-07-28,0.694,0.883,5,-4.989,1,0.0693,0.218,0.0,0.14,0.674,118.325,4
